Plant_Name,Unit,NRC_Webpage,Docket _Number,Location,State,Region,Licensee,Parent_Name,Parent_Website,Parent_Notes,Reactor_Type ,NSSS_Design Type ,AE,Contructor,Construction_Permit_Issued,Operating_License_Issued,Commercial_Operation,Renewed_Operating_License_Issued,Operating_License_Expires,Licensed_Mwt,Note,2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),Wikipedia_URL,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
"Arkansas Nuclear One, Unit 1",1,https://www.nrc.gov/info-finder/reactors/ano1.html,05000313,"35.310278, -93.231389",AR,4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,B&W LLP,BECH,BECH,12/6/1968,5/21/1974,12/19/1974,6/20/2001,5/20/2034,2568,,82%,98%,56%,102%,87%,90%,99%,83%,https://en.wikipedia.org/wiki/Arkansas_Nuclear_One,78%,92%,92%
"Arkansas Nuclear One, Unit 2",2,https://www.nrc.gov/info-finder/reactors/ano2.html,05000368,"35.310278, -93.231390",AR,4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,CE,BECH,BECH,12/6/1972,9/1/1978,3/26/1980,6/30/2005,7/17/2038,3026,,89%,85%,91%,93%,90%,97%,90%,91%,https://en.wikipedia.org/wiki/Arkansas_Nuclear_One,91%,99%,90%
"Beaver Valley Power Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/bv1.html,05000334,"40.623333, -80.430556",PA,1,First Energy Nuclear Operating Co.,First Energy Nuclear Operating Company,www.firstenergycorp.com,,PWR-DRYAMB,WEST 3LP,S&W,S&W,6/26/1970,7/2/1976,10/1/1976,11/5/2009,1/29/2036,2900,,90%,86%,86%,92%,101%,91%,92%,101%,https://en.wikipedia.org/wiki/Beaver_Valley_nuclear_power_plant,101%,93%,83%
"Beaver Valley Power Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/bv2.html,05000412,"40.623333, -80.430556",PA,1,First Energy Nuclear Operating Co.,First Energy Nuclear Operating Company,www.firstenergycorp.com,,PWR-DRYAMB,WEST 3LP,S&W,S&W,5/3/1974,8/14/1987,11/17/1987,11/5/2009,5/27/2047,2900,,90%,98%,97%,91%,102%,84%,87%,103%,https://en.wikipedia.org/wiki/Beaver_Valley_nuclear_power_plant,93%,100%,91%
"Braidwood Station, Unit 1",1,https://www.nrc.gov/info-finder/reactors/brai1.html,05000456,"41.243611, -88.229167",IL,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/1975,7/2/1987,7/29/1988,N/A,10/17/2026,3645,,93%,103%,95%,91%,101%,89%,95%,101%,https://en.wikipedia.org/wiki/Braidwood_Nuclear_Generating_Station,100%,95%,97%
"Braidwood Station, Unit 2",2,https://www.nrc.gov/info-finder/reactors/brai2.html,05000457,"41.243611, -88.229167",IL,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/1975,5/20/1988,10/17/1988,N/A,12/18/2027,3645,,91%,96%,98%,93%,93%,99%,93%,92%,https://en.wikipedia.org/wiki/Braidwood_Nuclear_Generating_Station,94%,101%,96%
"Browns Ferry Nuclear Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/bf1.html,05000259,"34.703889, -87.118611",AL,2,Tenessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,BWR-MARK 1,GE 4,TVA,TVA,5/10/1967,12/20/1973,8/1/1974,5/4/2006,12/20/2033,3458,,94%,90%,94%,88%,91%,86%,94%,88%,https://en.wikipedia.org/wiki/Browns_Ferry_Nuclear_Power_Plant,,,
"Browns Ferry Nuclear Plant, Unit 2",2,https://www.nrc.gov/info-finder/reactors/bf2.html,05000260,"34.703889, -87.118612",AL,2,Tenessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,BWR-MARK 1,GE 4,TVA,TVA,5/10/1967,6/28/1974,3/1/1975,5/4/2006,6/28/2034,3458,,85%,98%,79%,99%,80%,91%,94%,98%,https://en.wikipedia.org/wiki/Browns_Ferry_Nuclear_Power_Plant,90%,100%,86%
"Browns Ferry Nuclear Plant, Unit 3",3,https://www.nrc.gov/info-finder/reactors/bf3.html,05000296,"34.703889, -87.118613",AL,2,Tenessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,BWR-MARK 1,GE 4,TVA,TVA,7/31/1968,7/2/1976,3/1/1977,5/4/2006,7/2/2036,3458,,92%,88%,89%,83%,87%,81%,95%,81%,https://en.wikipedia.org/wiki/Browns_Ferry_Nuclear_Power_Plant,94%,89%,96%
"Brunswick Steam Electric Plant, Unit 1",1,https://www.nrc.gov/info-finder/reactors/bru1.html,05000325,"33.958333, -78.010278",NC,2,"Duke Energy Progress, Inc.",Duke Energy,www.duke-energy.com,,BWR-MARK 1,GE 4,UE&C,BRRT,2/7/1970,9/8/1976,3/18/1977,6/26/2006,9/8/2036,2923,,93%,89%,92%,77%,100%,83%,98%,85%,https://en.wikipedia.org/wiki/Brunswick_Nuclear_Generating_Station,94%,86%,101%
